target,layer,n_molecules,n_actives,metric,pocket,sequence,diff
P30405,L3,3973,77,EF5%,19.9648,19.9648,+0.0000
P30405,L3,3973,77,AUROC,0.9996,1.0000,+0.0004
P37288,L3,5606,110,EF1%,17.8820,6.2587,-11.6233
P37288,L3,5606,110,EF5%,10.1565,9.0683,-1.0882
P37288,L3,5606,110,AUROC,0.9093,0.9016,-0.0077
P43220,L3,6575,129,EF1%,1.5445,13.1284,+11.5839
P43220,L3,6575,129,EF5%,4.3378,10.8445,+6.5067
P43220,L3,6575,129,AUROC,0.8805,0.9443,+0.0638
P56528,L3,5248,103,EF1%,0.0000,0.0000,+0.0000
P56528,L3,5248,103,EF5%,0.0000,0.0000,+0.0000
P56528,L3,5248,103,AUROC,0.1089,0.2470,+0.1381
P97821,L3,4230,83,EF1%,40.2970,49.7786,+9.4816
P97821,L3,4230,83,EF5%,19.4720,19.9528,+0.4808
P97821,L3,4230,83,AUROC,0.9946,0.9985,+0.0039
Q15562,L3,9173,180,EF1%,0.5539,0.5539,+0.0000
Q15562,L3,9173,180,EF5%,0.6662,0.3331,-0.3331
Q15562,L3,9173,180,AUROC,0.4407,0.4750,+0.0343
Q15878,L3,7697,151,EF1%,1.3240,0.0000,-1.3240
Q15878,L3,7697,151,EF5%,0.7944,0.1324,-0.6620
Q15878,L3,7697,151,AUROC,0.4733,0.6560,+0.1827
Q92830,L3,8104,159,EF1%,0.0000,0.0000,+0.0000
Q92830,L3,8104,159,EF5%,0.0000,0.0000,+0.0000
Q92830,L3,8104,159,AUROC,0.5665,0.3021,-0.2644
Q96LB1,L3,3515,69,EF1%,0.0000,0.0000,+0.0000
Q96LB1,L3,3515,69,EF5%,0.5789,0.0000,-0.5789
Q96LB1,L3,3515,69,AUROC,0.6385,0.5766,-0.0620
Q99594,L3,5193,102,EF1%,0.0000,0.9791,+0.9791
Q99594,L3,5193,102,EF5%,0.9791,0.1958,-0.7833
Q99594,L3,5193,102,AUROC,0.5484,0.3758,-0.1727
Q9NP56,L3,3618,71,EF1%,11.0179,15.1496,+4.1317
Q9NP56,L3,3618,71,EF5%,3.3784,4.7861,+1.4077
Q9NP56,L3,3618,71,AUROC,0.5021,0.6896,+0.1875
J9SQF3,L4,33108,650,EF1%,0.0000,0.0000,+0.0000
J9SQF3,L4,33108,650,EF5%,0.0000,0.5536,+0.5536
J9SQF3,L4,33108,650,AUROC,0.2640,0.5494,+0.2855
O00187,L4,17213,337,EF1%,23.6195,3.2477,-20.3718
O00187,L4,17213,337,EF5%,16.1359,5.9323,-10.2036
O00187,L4,17213,337,AUROC,0.9384,0.8866,-0.0518
O00411,L4,11568,227,EF1%,0.0000,0.0000,+0.0000
O00411,L4,11568,227,EF5%,0.0000,0.1760,+0.1760
O00411,L4,11568,227,AUROC,0.1560,0.4024,+0.2465
O00443,L4,5042,99,EF1%,0.0000,0.0000,+0.0000
O00443,L4,5042,99,EF5%,0.4026,0.2013,-0.2013
O00443,L4,5042,99,AUROC,0.4148,0.6583,+0.2435
O14578,L4,7743,152,EF1%,11.7556,36.5729,+24.8173
O14578,L4,7743,152,EF5%,13.3917,18.2494,+4.8578
O14578,L4,7743,152,AUROC,0.9627,0.9893,+0.0267
O14874,L4,5400,106,EF1%,46.2264,0.0000,-46.2264
O14874,L4,5400,106,EF5%,19.0566,0.0000,-19.0566
O14874,L4,5400,106,AUROC,0.9719,0.4262,-0.5457
O42275,L4,6011,118,EF1%,50.9407,50.9407,+0.0000
O42275,L4,6011,118,EF5%,15.9084,15.7391,-0.1692
O42275,L4,6011,118,AUROC,0.8849,0.8796,-0.0054
O60427,L4,12028,236,EF1%,0.0000,0.0000,+0.0000
O60427,L4,12028,236,EF5%,0.0000,0.0000,+0.0000
O60427,L4,12028,236,AUROC,0.3257,0.5333,+0.2076
O75747,L4,11664,229,EF1%,0.0000,0.0000,+0.0000
O75747,L4,11664,229,EF5%,0.0872,0.0000,-0.0872
O75747,L4,11664,229,AUROC,0.6582,0.2919,-0.3663
O75909,L4,8612,169,EF1%,0.0000,9.3717,+9.3717
O75909,L4,8612,169,EF5%,0.0000,8.9857,+8.9857
O75909,L4,8612,169,AUROC,0.6244,0.8947,+0.2703
O88634,L4,3364,66,EF1%,0.0000,0.0000,+0.0000
O88634,L4,3364,66,EF5%,0.3016,0.0000,-0.3016
O88634,L4,3364,66,AUROC,0.4547,0.4277,-0.0270
O94782,L4,20685,406,EF1%,0.0000,0.0000,+0.0000
O94782,L4,20685,406,EF5%,0.0985,0.1969,+0.0985
O94782,L4,20685,406,AUROC,0.4506,0.5048,+0.0542
O95835,L4,3720,73,EF1%,5.3641,1.3410,-4.0231
O95835,L4,3720,73,EF5%,4.9315,3.0137,-1.9178
O95835,L4,3720,73,AUROC,0.7496,0.7613,+0.0117
P08546,L4,4178,82,EF1%,1.2131,0.0000,-1.2131
P08546,L4,4178,82,EF5%,0.7314,2.4379,+1.7065
P08546,L4,4178,82,AUROC,0.6335,0.8374,+0.2039
P09871,L4,21444,421,EF1%,50.6990,44.7762,-5.9228
P09871,L4,21444,421,EF5%,18.9407,17.7540,-1.1868
P09871,L4,21444,421,AUROC,0.9872,0.9851,-0.0021
P0AES4,L4,6778,133,EF1%,2.2483,36.7229,+34.4746
P0AES4,L4,6778,133,EF5%,2.8563,12.7782,+9.9219
P0AES4,L4,6778,133,AUROC,0.6839,0.8929,+0.2090
P11166,L4,3515,67,EF1%,0.0000,0.0000,+0.0000
P11166,L4,3515,67,EF5%,0.2981,0.2981,+0.0000
P11166,L4,3515,67,AUROC,0.1534,0.6333,+0.4799
P14060,L4,3768,74,EF1%,0.0000,0.0000,+0.0000
P14060,L4,3768,74,EF5%,0.0000,1.3471,+1.3471
P14060,L4,3768,74,AUROC,0.3600,0.7498,+0.3898
P14416,L4,16307,320,EF1%,47.5414,47.8521,+0.3107
P14416,L4,16307,320,EF5%,18.4853,17.1738,-1.3115
P14416,L4,16307,320,AUROC,0.9852,0.9734,-0.0118
P16788,L4,23125,454,EF1%,0.0000,0.0000,+0.0000
P16788,L4,23125,454,EF5%,0.0000,0.0000,+0.0000
P16788,L4,23125,454,AUROC,0.2954,0.2554,-0.0400
P17927,L4,3513,69,EF1%,1.4143,48.0845,+46.6703
P17927,L4,3513,69,EF5%,16.4889,19.9602,+3.4713
P17927,L4,3513,69,AUROC,0.9759,0.9994,+0.0235
P17948,L4,4791,94,EF1%,45.6589,16.9894,-28.6695
P17948,L4,4791,94,EF5%,18.0512,14.4410,-3.6102
P17948,L4,4791,94,AUROC,0.9726,0.9371,-0.0355
P19525,L4,9223,181,EF1%,0.0000,0.0000,+0.0000
P19525,L4,9223,181,EF5%,0.1103,1.8750,+1.7647
P19525,L4,9223,181,AUROC,0.2414,0.8520,+0.6105
P20648,L4,5708,112,EF1%,0.8787,28.1182,+27.2395
P20648,L4,5708,112,EF5%,4.6331,16.7505,+12.1174
P20648,L4,5708,112,AUROC,0.8707,0.9790,+0.1084
P21917,L4,3312,65,EF1%,25.4769,37.4661,+11.9891
P21917,L4,3312,65,EF5%,11.6641,14.1197,+2.4556
P21917,L4,3312,65,AUROC,0.8805,0.8864,+0.0058
P22001,L4,17880,351,EF1%,0.0000,0.8537,+0.8537
P22001,L4,17880,351,EF5%,0.0000,2.8490,+2.8490
P22001,L4,17880,351,AUROC,0.5954,0.7822,+0.1868
P24864,L4,3466,68,EF1%,0.0000,1.4563,+1.4563
P24864,L4,3466,68,EF5%,0.0000,0.8788,+0.8788
P24864,L4,3466,68,AUROC,0.3491,0.6848,+0.3357
P25929,L4,5198,102,EF1%,19.6003,20.5803,+0.9800
P25929,L4,5198,102,EF5%,15.2882,5.8801,-9.4081
P25929,L4,5198,102,AUROC,0.9725,0.7826,-0.1899
P28223,L4,61144,1200,EF1%,34.4684,41.7951,+7.3266
P28223,L4,61144,1200,EF5%,11.3804,13.2965,+1.9162
P28223,L4,61144,1200,AUROC,0.7400,0.8589,+0.1189
P30990,L4,3874,76,EF1%,0.0000,0.0000,+0.0000
P30990,L4,3874,76,EF5%,0.0000,0.0000,+0.0000
P30990,L4,3874,76,AUROC,0.3214,0.2010,-0.1203
P34969,L4,5145,101,EF1%,35.2666,21.5518,-13.7148
P34969,L4,5145,101,EF5%,17.7700,13.2288,-4.5412
P34969,L4,5145,101,AUROC,0.9759,0.9493,-0.0266
P35462,L4,5553,109,EF1%,9.0973,38.2087,+29.1114
P35462,L4,5553,109,EF5%,8.9795,12.6446,+3.6651
P35462,L4,5553,109,AUROC,0.8719,0.9038,+0.0319
P37840,L4,5857,115,EF1%,0.8632,0.0000,-0.8632
P37840,L4,5857,115,EF5%,3.3027,0.0000,-3.3027
P37840,L4,5857,115,AUROC,0.7620,0.4753,-0.2867
P50052,L4,10903,214,EF1%,4.1685,2.3158,-1.8527
P50052,L4,10903,214,EF5%,3.9191,0.9331,-2.9860
P50052,L4,10903,214,AUROC,0.8303,0.3867,-0.4436
P52429,L4,4124,81,EF1%,0.0000,0.0000,+0.0000
P52429,L4,4124,81,EF5%,0.0000,0.0000,+0.0000
P52429,L4,4124,81,AUROC,0.3040,0.6658,+0.3618
P54278,L4,4331,85,EF1%,46.3209,32.4246,-13.8963
P54278,L4,4331,85,EF5%,19.9585,18.7845,-1.1740
P54278,L4,4331,85,AUROC,0.9990,0.9902,-0.0088
P57059,L4,4281,84,EF1%,1.1852,27.2600,+26.0748
P57059,L4,4281,84,EF5%,3.5556,11.1410,+7.5854
P57059,L4,4281,84,AUROC,0.8328,0.9262,+0.0934
Q03164,L4,13648,268,EF1%,0.7434,0.3717,-0.3717
Q03164,L4,13648,268,EF5%,3.7281,0.3728,-3.3553
Q03164,L4,13648,268,AUROC,0.8037,0.4385,-0.3652
Q08211,L4,36023,707,EF1%,11.5736,0.0000,-11.5736
Q08211,L4,36023,707,EF5%,7.2385,0.2828,-6.9557
Q08211,L4,36023,707,AUROC,0.8689,0.5984,-0.2705
Q08828,L4,3464,68,EF1%,0.0000,0.0000,+0.0000
Q08828,L4,3464,68,EF5%,0.0000,0.5855,+0.5855
Q08828,L4,3464,68,AUROC,0.1318,0.7931,+0.6613
Q10469,L4,8712,171,EF1%,0.0000,0.0000,+0.0000
Q10469,L4,8712,171,EF5%,0.0000,0.0000,+0.0000
Q10469,L4,8712,171,AUROC,0.1468,0.5630,+0.4163
Q13191,L4,62765,1232,EF1%,0.1622,0.0000,-0.1622
Q13191,L4,62765,1232,EF5%,0.1948,0.0487,-0.1461
Q13191,L4,62765,1232,AUROC,0.4971,0.4975,+0.0004
Q13233,L4,2957,58,EF1%,5.0983,0.0000,-5.0983
Q13233,L4,2957,58,EF5%,6.2006,0.0000,-6.2006
Q13233,L4,2957,58,AUROC,0.9126,0.3714,-0.5412
Q13535,L4,24306,477,EF1%,0.0000,0.8353,+0.8353
Q13535,L4,24306,477,EF5%,0.0000,1.0057,+1.0057
Q13535,L4,24306,477,AUROC,0.2256,0.6838,+0.4581
Q13574,L4,29346,576,EF1%,5.5454,0.3466,-5.1988
Q13574,L4,29346,576,EF5%,3.3317,0.8329,-2.4988
Q13574,L4,29346,576,AUROC,0.6229,0.6382,+0.0153
Q13724,L4,26950,529,EF1%,1.5095,2.6416,+1.1321
Q13724,L4,26950,529,EF5%,2.0030,2.9479,+0.9448
Q13724,L4,26950,529,AUROC,0.7334,0.6994,-0.0340
Q15078,L4,2649,52,EF1%,0.0000,3.7735,+3.7735
Q15078,L4,2649,52,EF5%,0.0000,5.3623,+5.3623
Q15078,L4,2649,52,AUROC,0.5017,0.6787,+0.1770
Q16236,L4,4381,86,EF1%,0.0000,0.0000,+0.0000
Q16236,L4,4381,86,EF5%,0.2316,0.0000,-0.2316
Q16236,L4,4381,86,AUROC,0.5092,0.6636,+0.1543
Q16739,L4,15737,309,EF1%,0.3223,0.6447,+0.3223
Q16739,L4,15737,309,EF5%,1.4237,3.5592,+2.1355
Q16739,L4,15737,309,AUROC,0.7359,0.7607,+0.0249
Q16832,L4,16614,326,EF1%,22.5825,37.5358,+14.9533
Q16832,L4,16614,326,EF5%,12.5721,13.6147,+1.0426
Q16832,L4,16614,326,AUROC,0.9414,0.9371,-0.0043
Q5JRX3,L4,2905,57,EF1%,0.0000,25.4825,+25.4825
Q5JRX3,L4,2905,57,EF5%,0.0000,8.0287,+8.0287
Q5JRX3,L4,2905,57,AUROC,0.3207,0.8141,+0.4934
Q6SZW1,L4,12377,243,EF1%,3.2861,0.0000,-3.2861
Q6SZW1,L4,12377,243,EF5%,4.0319,1.3988,-2.6331
Q6SZW1,L4,12377,243,AUROC,0.7332,0.5670,-0.1663
Q7Z3E1,L4,29244,574,EF1%,17.7361,0.0000,-17.7361
Q7Z3E1,L4,29244,574,EF5%,8.7409,1.3930,-7.3479
Q7Z3E1,L4,29244,574,AUROC,0.8972,0.7755,-0.1217
Q7Z5P4,L4,45534,883,EF1%,0.0000,0.9047,+0.9047
Q7Z5P4,L4,45534,883,EF5%,0.0226,1.4947,+1.4721
Q7Z5P4,L4,45534,883,AUROC,0.3613,0.6632,+0.3019
Q86SK9,L4,2745,54,EF1%,0.0000,7.2619,+7.2619
Q86SK9,L4,2745,54,EF5%,0.7367,8.8406,+8.1039
Q86SK9,L4,2745,54,AUROC,0.5671,0.9058,+0.3387
Q86UE8,L4,3463,68,EF1%,29.1008,8.7303,-20.3706
Q86UE8,L4,3463,68,EF5%,10.5365,10.8292,+0.2927
Q86UE8,L4,3463,68,AUROC,0.8826,0.9430,+0.0604
Q8N1C3,L4,10239,201,EF1%,35.1142,34.1251,-0.9891
Q8N1C3,L4,10239,201,EF5%,15.7199,15.4214,-0.2985
Q8N1C3,L4,10239,201,AUROC,0.9802,0.9763,-0.0039
Q8WYB5,L4,9783,192,EF1%,16.1178,0.0000,-16.1178
Q8WYB5,L4,9783,192,EF5%,12.3743,0.0000,-12.3743
Q8WYB5,L4,9783,192,AUROC,0.9440,0.2411,-0.7029
Q92551,L4,9779,192,EF1%,0.0000,0.0000,+0.0000
Q92551,L4,9779,192,EF5%,0.1042,0.3125,+0.2083
Q92551,L4,9779,192,AUROC,0.5433,0.5845,+0.0412
Q92794,L4,43768,858,EF1%,25.2729,0.2329,-25.0400
Q92794,L4,43768,858,EF5%,11.2557,0.2563,-10.9993
Q92794,L4,43768,858,AUROC,0.9059,0.4067,-0.4993
Q96DB2,L4,3617,71,EF1%,0.0000,31.6677,+31.6677
Q96DB2,L4,3617,71,EF5%,3.9404,16.6059,+12.6656
Q96DB2,L4,3617,71,AUROC,0.7811,0.9749,+0.1937
Q96GX5,L4,13140,258,EF1%,8.1025,5.0159,-3.0867
Q96GX5,L4,13140,258,EF5%,1.6279,2.7907,+1.1628
Q96GX5,L4,13140,258,AUROC,0.5929,0.6887,+0.0958
Q96KP4,L4,5603,110,EF1%,21.4469,45.5746,+24.1278
Q96KP4,L4,5603,110,EF5%,17.4017,19.3957,+1.9940
Q96KP4,L4,5603,110,AUROC,0.9810,0.9966,+0.0156
Q9H0K1,L4,5552,109,EF1%,3.6383,18.1913,+14.5531
Q9H0K1,L4,5552,109,EF5%,3.2980,8.0618,+4.7638
Q9H0K1,L4,5552,109,AUROC,0.8397,0.8894,+0.0497
Q9HCE5,L4,9834,193,EF1%,1.5440,2.0587,+0.5147
Q9HCE5,L4,9834,193,EF5%,1.7606,4.0390,+2.2784
Q9HCE5,L4,9834,193,AUROC,0.5188,0.7586,+0.2398
Q9NPH5,L4,4892,96,EF1%,1.0400,0.0000,-1.0400
Q9NPH5,L4,4892,96,EF5%,0.2080,0.4160,+0.2080
Q9NPH5,L4,4892,96,AUROC,0.4162,0.6195,+0.2033
Q9NR19,L4,7233,142,EF1%,0.0000,0.0000,+0.0000
Q9NR19,L4,7233,142,EF5%,0.0000,0.1407,+0.1407
Q9NR19,L4,7233,142,AUROC,0.4356,0.5059,+0.0704
Q9Y2I7,L4,20075,394,EF1%,0.0000,0.0000,+0.0000
Q9Y2I7,L4,20075,394,EF5%,0.0000,0.2030,+0.2030
Q9Y2I7,L4,20075,394,AUROC,0.3456,0.5122,+0.1666
